ID,Word,Syllables
0,a cappella,4
1,a fortiori,5
2,a gogo,3
3,a posteriori,6
4,a priori,4
5,a tempo,3
6,a-plenty,3
7,Aalborg,2
8,Aalto,2
9,aardvark,2
10,aardwolf,2
11,Aarau,2
12,Aargau,2
13,Aarhus,2
14,Aaron,2
15,Aaronitic,4
16,Aachen,2
17,Aalesund,3
18,aalii,3
19,Aaron,2
20,Aaron's beard,3
21,Aaron's rod,3
22,Aaron's-beard,3
23,Aaronic,3
24,Aaronite,3
25,Aaronical,4
26,ab initio,5
27,ab ovo,3
28,abb,1
29,Abbevillian,4
30,Abbevilean,4
31,abbr,1
32,abbrev,1
33,Abd-al-Kadir,4
34,Abd-al-Rahman,4
35,Abd-el-Kadir,4
36,abl,1
37,abp,1
38,abr,1
39,absinth,1
40,aba,2
41,abactinal,4
42,abamp,2
43,abampere,3
44,abaptiston,4
45,abattis,3
46,abattoir,3
47,abaxial,4
48,abaca,3
49,abaci,3
50,abacist,3
51,abacisci,4
52,abaciscus,4
53,Abaco,3
54,abacus,3
55,abacuses,4
56,Abadan,3
57,abalone,4
58,Abaris,3
59,abatis,3
60,abb,2
61,Abba,2
62,abba,2
63,Abbai,2
64,Abbasid,3
65,Abbassid,3
66,Abbasside,3
67,abbacy,3
68,abbatial,3
69,Abbe,2
70,abbess,2
71,Abbey,2
72,abbey,2
73,Abbey Theatre,5
74,abbeystead,3
75,abbeystede,3
76,Abbeville,3
77,Abbie,2
78,abbot,2
79,Abbot,2
80,Abbotsford,3
81,Abbott,2
82,abbotcy,3
83,abbotship,3
84,Abboud,2
85,abbreviate,4
86,abbreviated,5
87,abbreviating,5
88,abbreviation,5
89,abbreviator,5
90,Abby,2
91,abb,2
92,abbs,2
93,abcoulomb,3
94,Abderhalden,4
95,Abderus,3
96,Abdias,3
97,abdicant,3
98,abdicate,3
99,abdicated,4
100,abdicating,4
101,abdicable,4
102,abdication,4
103,abdicative,4
104,abdicator,4
105,abdominal,4
106,abdominally,5
107,abdominous,4
108,Abdon,2
109,abdomen,3
110,abduce,2
111,abduced,2
112,abduct,2
113,abducing,3
114,abduction,3
115,abductor,3
116,Abdul-Aziz,4
117,Abdul-Hamid II,5
118,abducens,3
119,abducens nerve,4
120,abducent,3
121,abducentes,4
122,Abercrombie,4
123,Aberdare,3
124,Aberdeen,3
125,Aberdeen Angus,5
126,Aberdeenshire,4
127,Aberdonian,5
128,abernethy,4
129,aberrance,3
130,aberrant,3
131,aberrancy,4
132,aberration,4
133,aberrational,5
134,Aberystwyth,4
135,abesse,3
136,abessive,3
137,Abelard,3
138,Abeokuta,5
139,abfarad,3
140,Abgatha,3
141,abhenry,3
142,abhominable,5
143,abhor,2
144,abhorred,2
145,abhorrence,3
146,abhorrent,3
147,abhorrently,4
148,abhorrer,3
149,abhorring,3
150,Abingdon,3
151,Abingger,3
152,Abington,3
153,abirritant,4
154,abirritate,4
155,abirritated,5
156,abirritating,5
157,abirritation,5
158,abirritative,5
159,Abia,3
160,Abidjan,3
161,abient,3
162,abietic acid,6
163,abietate,4
164,abigail,3
165,Abigail,3
166,Abilene,3
167,Abilyne,3
168,abiotrophy,5
169,abiotrophic,5
170,Abisag,3
171,Abishag,3
172,abject,2
173,abjectedness,4
174,abjectly,3
175,abjectness,3
176,abjection,3
177,abjective,3
178,abjunction,3
179,abjure,2
180,abjured,2
181,abjuratory,5
182,abjurer,3
183,abjuring,3
184,abjuration,4
185,Abkhaz,2
186,Abkhasia,4
187,Abkhasian,4
188,Abkhazia,4
189,Abkhazian,4
190,ablactate,3
191,ablactated,4
192,ablactating,4
193,ablactation,4
194,ablate,2
195,ablated,3
196,ablating,3
197,ablaut,2
198,ablation,3
199,ablative,3
200,ablative absolute,6
201,ablatival,4
202,ablator,3
203,ablegate,3
204,abluent,3
205,ablution,3
206,ablutionary,5
207,abmho,2
208,abmodality,5
209,Abnaki,3
210,Abner,2
211,Abney level,4
212,abnegate,3
213,abnegated,4
214,abnegating,4
215,abnegation,4
216,abnegator,4
217,abnormal,3
218,abnormal psychology,7
219,abnormalcy,4
220,abnormalise,4
221,abnormalised,4
222,abnormalising,5
223,abnormalize,4
224,abnormalized,4
225,abnormalizing,5
226,abnormality,5
227,abnormally,4
228,abnormalness,4
229,abnormity,4
230,abo,2
231,Abo,2
232,abohm,2
233,abos,2
234,abolition,4
235,abolitionary,6
236,abolitionise,5
237,abolitionised,5
238,abolitionism,5
239,abolitionist,5
240,abolitionising,6
241,abolitionize,5
242,abolitionized,5
243,abolitionizing,6
244,abomasum,4
245,abomasus,4
246,aborad,3
247,aboral,3
248,Aboriginal,5
249,aboriginal,5
250,aboriginality,7
251,aboriginally,6
252,Aborigine,5
253,aborigine,5
254,abracadabra,5
255,abreact,3
256,abreaction,4
257,abrogate,3
258,abrogated,4
259,abrogating,4
260,abrogable,4
261,abrogation,4
262,abrogative,4
263,abrogator,4
264,abrupt,2
265,abruptly,3
266,abruptness,3
267,abruption,3
268,Absalom,3
269,abscess,2
270,abscessed,2
271,abscind,2
272,abscise,2
273,abscised,2
274,abscising,3
275,abscissa,3
276,abscissae,3
277,abscissas,3
278,abscission,3
279,abscission layer,5
280,abscond,2
281,absconder,3
282,abseil,2
283,absence,2
284,absent,2
285,absent without leave,5
286,absent-minded,4
287,absent-mindedness,5
288,absenter,3
289,absently,3
290,absentmindedly,5
291,absentness,3
292,absentation,4
293,absente reo,5
294,absentee,3
295,absentee landlord,5
296,absenteeism,4
297,absentia,4
298,Absecon,3
299,absinth,2
300,absinthe,2
301,absinthism,3
302,absinthial,4
303,absinthian,4
304,absit omen,4
305,absolve,2
306,absolved,2
307,absolvable,4
308,absolver,3
309,absolving,3
310,absolutory,5
311,absolvent,3
312,absorb,2
313,absorbed,2
314,absorbance,3
315,absorbability,6
316,absorbable,4
317,absorbedly,4
318,absorbedness,4
319,absorbent,3
320,absorbent cotton,5
321,absorbency,4
322,absorber,3
323,absorbing,3
324,absorbingly,4
325,absorptance,3
326,absorption,3
327,absorption factor,5
328,absorption spectrum,5
329,absorptive,3
330,absorptiveness,4
331,absorptivity,5
332,absorptiometer,6
333,absorptiometric,6
334,absorbefacient,5
335,Absolute,3
336,absolute,3
337,absolute alcohol,6
338,absolute ceiling,5
339,absolute humidity,7
340,absolute magnitude,6
341,absolute majority,7
342,absolute monarchy,6
343,absolute music,5
344,absolute pitch,4
345,absolute temperature,7
346,absolute unit,5
347,absolute value,5
348,absolute viscosity,7
349,absolute zero,5
350,absolutely,4
351,absoluteness,4
352,absolutism,4
353,absolutist,4
354,absolution,4
355,absolutistic,5
356,absolutistically,7
357,absonant,3
358,absquatulate,4
359,abstain,2
360,abstainer,3
361,abstention,3
362,abstentious,3
363,absterge,2
364,absterged,2
365,absterging,3
366,abstergent,3
367,abstersion,3
368,abstersive,3
369,abstersiveness,4
370,abstemious,4
371,abstemiously,5
372,abstemiousness,5
373,abstinence,3
374,abstinent,3
375,abstinently,4
376,abstinency,4
377,abstract,2
378,abstract expressionism,6
379,abstract noun,3
380,abstract of title,5
381,abstracted,3
382,abstractedly,4
383,abstractedness,4
384,abstracter,3
385,abstractly,3
386,abstractness,3
387,abstraction,3
388,abstractional,4
389,abstractionism,4
390,abstractionist,4
391,abstractive,3
392,abstractively,4
393,abstractiveness,4
394,abstriction,3
395,abstruse,2
396,abstrusely,3
397,abstruseness,3
398,abstrusity,4
399,absurd,2
400,absurdity,4
401,absurdly,3
402,absurdness,3
403,Absyrtus,3
404,Abu Dhabi,4
405,Abu Simbel,4
406,abvolt,2
407,abwatt,2
408,Abyssinia,5
409,Abyssinian,5
410,Abyssinian cat,6
411,Abyla,3
412,Ablard,3
413,ac-globulin,4
414,ace,1
415,acey-deucy,4
416,ache,1
417,Achaemenidae,5
418,Achaemenian,5
419,achalasia,4
420,Acheron,3
421,Achelous,4
422,Acheson,3
423,Achill,2
424,Achill Island,4
425,Achillean,4
426,aching,2
427,achingly,3
428,achkan,2
429,achlamydeous,5
430,Achmed,2
431,acholuric,4
432,acholuria,5
433,achroite,3
434,achromat,3
435,achromate,3
436,achromatic,4
437,achromatic color,6
438,achromatic lens,5
439,achromatically,6
440,achromaticity,6
441,Achromycin,4
442,Achsah,2
443,ack-ack,2
444,ackee,2
445,Ackerley,3
446,ackey,2
447,Ackley,2
448,ackton,2
449,acorable,3
450,acpt,1
451,act,1
452,act of contrition,5
453,actg,1
454,actability,5
455,actable,3
456,acting,2
457,acanthaceous,4
458,acanthocladous,5
459,acanthopterygian,7
460,acanthotic,4
461,acanthodian,5
462,acanthosis,4
463,acaulescence,4
464,acaulescent,4
465,academe,3
466,academic,4
467,academic dress,5
468,academia,5
469,academical,5
470,academicals,5
471,academically,6
472,academicism,5
473,academia,5
474,Academus,4
475,acajou,3
476,acaleph,3
477,acalephe,3
478,Acamas,3
479,acari,3
480,acarid,3
481,acarine,3
482,acariasis,5
483,acaroid,3
484,acaroid gum,4
485,acarologist,5
486,acarology,5
487,acarophobia,6
488,acarus,3
489,Accad,2
490,Accadian,4
491,accede,2
492,acceded,3
493,accedence,3
494,acceder,3
495,acceding,3
496,accelerant,4
497,accelerando,5
498,accelerate,4
499,accelerated,5
500,acceleratedly,6
501,accelerating,5
502,accelerable,5
503,acceleration,5
504,accelerative,5
505,accelerator,5
506,acceleratory,6
507,accelerometer,6
508,accent,2
509,accentless,3
510,accentor,3
511,accentual,4
512,accentuality,6
513,accentually,5
514,accentuate,4
515,accentuated,5
516,accentuating,5
517,accentuable,5
518,accentuation,5
519,accentuator,5
520,accept,2
521,acceptance,3
522,acceptant,3
523,acceptancy,4
524,acceptability,6
525,acceptable,4
526,acceptableness,5
527,acceptably,4
528,accepted,3
529,acceptedly,4
530,acceptee,3
531,accepter,3
532,acceptation,4
533,acceptor,3
534,access,2
535,access road,3
536,access time,3
537,accessarily,5
538,accessariness,5
539,accessary,4
540,accession,3
541,accession number,5
542,accessional,4
543,accessibility,6
544,accessible,4
545,accessibly,4
546,accessorize,4
547,accessorized,4
548,accessorizing,5
549,accessorial,5
550,accessorii,5
551,accessorily,5
552,accessoriness,5
553,accessorius,5
554,accessory,4
555,accessory fruit,5
556,accessory nerve,5
557,acciaccaturas,4
558,acciaccatura,5
559,acciaccature,5
560,accipiter,4
561,accipitral,4
562,accipitrine,4
563,accidence,3
564,accident,3
565,accident insurance,6
566,accident-prone,4
567,accidental,4
568,accidentalism,5
569,accidentalist,5
570,accidentality,6
571,accidentally,5
572,accidentalness,5
573,accidie,3
574,Accius,3
575,acclaim,2
576,acclaimer,3
577,acclamatory,5
578,acclamation,4
579,acclivitous,4
580,acclivity,4
581,acclimate,3
582,acclimatable,5
583,acclimated,4
584,acclimating,4
585,acclimation,4
586,acclimatise,4
587,acclimatised,4
588,acclimatisable,6
589,acclimatiser,5
590,acclimatising,5
591,acclimatize,4
592,acclimatized,4
593,acclimatizable,6
594,acclimatizing,5
595,acclimatisation,6
596,acclimatization,6
597,acclivous,3
598,accompt,2
599,accommodate,4
600,accommodated,5
601,accommodating,5
602,accommodatingly,6
603,accommodable,5
604,accommodation,5
605,accommodation address,7
606,accommodation bill,6
607,accommodation ladder,7
608,accommodational,6
609,accommodative,5
610,accommodativeness,6
611,accommodator,5
612,accompanied,4
613,accompanist,4
614,accompanier,5
615,accompaniment,5
616,accompany,4
617,accompanying,5
618,accompanyist,5
619,accomplice,3
620,accomplish,3
621,accomplished,3
622,accomplishable,5
623,accomplisher,4
624,accomplishment,4
625,accord,2
626,accordance,3
627,accordant,3
628,accordantly,4
629,accordable,4
630,accorder,3
631,according,3
632,accordingly,4
633,accordatura,5
634,accordaturas,5
635,accordature,5
636,accordion,4
637,accordion pleats,5
638,accordionist,5
639,accost,2
640,accostable,4
641,accosted,3
642,accoucheuse,2
643,accouchement,3
644,account,2
645,account day,3
646,account for,3
647,account payable,5
648,account receivable,6
649,accountant,3
650,accountantship,4
651,accountancy,4
652,accountability,6
653,accountable,4
654,accountableness,5
655,accountably,4
656,accounting,3
657,accoucheur,3
658,accoucheuse,3
659,accouplement,4
660,accouter,3
661,accouterment,3
662,accouterment,4
663,accoutre,3
664,accoutrement,3
665,accoutrement,4
666,accolade,3
667,accoladed,4
668,accolated,4
669,Accra,2
670,accra,2
671,accredit,3
672,accreditment,4
673,accreditation,5
674,accrescent,3
675,accrete,2
676,accreted,3
677,accreting,3
678,accretion,3
679,accretionary,5
680,accretive,3
681,Accrington,3
682,accroach,2
683,accroachment,3
684,accrue,2
685,accrued,2
686,accruement,3
687,accrual,3
688,accruing,3
689,acculturate,4
690,acculturated,5
691,acculturating,5
692,acculturation,5
693,acculturational,6
694,acculturationist,6
695,acculturative,5
696,acculturize,4
697,acculturized,4
698,acculturizing,5
699,accumbent,3
700,accumbency,4
701,accurst,2
702,accursed,3
703,accursedly,4
704,accursedness,4
705,accuse,2
706,accused,2
707,accusal,3
708,accusant,3
709,accusable,4
710,accusably,4
711,accuser,3
712,accusing,3
713,accusingly,4
714,accustom,3
715,accustomed,3
716,accustomedly,4
717,accustomedness,4
718,accumulate,4
719,accumulated,5
720,accumulating,5
721,accumulable,5
722,accumulation,5
723,accumulation point,6
724,accumulative,5
725,accumulatively,6
726,accumulativeness,6
727,accumulator,5
